#Transcript position	Transcript coverage profile
0.0	12.681807542529326
1.0	34.272476478642936
2.0	49.95300170990482
3.0	61.76327459513428
4.0	71.59471165744694
5.0	82.27175625981428
6.0	92.89408083536753
7.0	97.17676830006879
8.0	103.85335039653349
9.0	108.82474068574776
10.0	106.31659716108918
11.0	106.01537596631485
12.0	113.06335885764916
13.0	116.3051684634247
14.0	120.67582695067591
15.0	118.76926881622956
16.0	109.88038862529228
17.0	105.7680207981407
18.0	104.92720850573713
19.0	101.39402492991326
20.0	100.0747542056764
21.0	93.97559570425264
22.0	90.52664610794389
23.0	91.61961757837976
24.0	93.21377216852255
25.0	94.30348855216931
26.0	92.78952747964742
27.0	89.45263494504613
28.0	95.6526300069156
29.0	97.81705762046165
30.0	101.6234375856306
31.0	99.08963246233874
32.0	103.8430133040319
33.0	108.8050793724821
34.0	113.42387500673182
35.0	110.58673616109944
36.0	106.39643018727594
37.0	110.80130098140471
38.0	112.93159828747379
39.0	110.59857260421784
40.0	109.9220645795101
41.0	108.70373344024395
42.0	109.60181815289475
43.0	109.04630593958878
44.0	108.59083208724884
45.0	108.54541858016103
46.0	109.72862006947848
47.0	109.89458304630908
48.0	105.81498709149635
49.0	102.99200286274858
50.0	106.49056095810211
51.0	109.95310868669922
52.0	115.46173835103467
53.0	116.85608638265833
54.0	116.68313645316441
55.0	110.2079010178345
56.0	109.37315285855456
57.0	108.11445914625462
58.0	106.70352871940126
59.0	102.34297482686377
60.0	105.46995487965052
61.0	103.51025985203744
62.0	103.92372631647059
63.0	105.46043931308779
64.0	107.2610180511529
65.0	107.72999621310868
66.0	112.56950444160009
67.0	109.29857505005722
68.0	109.52191769570531
69.0	110.60775569401402
70.0	106.73905058911575
71.0	106.25350348982585
72.0	106.53369934209336
73.0	108.23590481932455
74.0	111.99363941132393
75.0	115.08307267255083
76.0	108.96688073001454
77.0	102.795130727713
78.0	100.41798599044725
79.0	102.42364653246342
80.0	104.77850112949017
81.0	99.98874160956366
82.0	97.55196204223199
83.0	98.18106463972077
84.0	92.57396096379864
85.0	86.40880758641718
86.0	84.72479495854326
87.0	84.6554291541623
88.0	80.21548736674154
89.0	73.16247155660302
90.0	65.60450007296487
91.0	59.92553709790967
92.0	48.247125807358046
93.0	35.19049445352147
94.0	28.370892754320614
95.0	25.451610546965753
96.0	24.38642546759322
97.0	18.31063697118609
98.0	9.192856856903653
99.0	2.3377124096439417
