TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	400322.6	372384.1	464026.0
2000000.0	549970.1	485017.5	757547.1
3000000.0	631064.3	541367.3	978327.3
4000000.0	681839.6	574954.0	1152120.5
5000000.0	716628.5	597254.3	1292681.8
6000000.0	741955.8	613139.3	1408771.7
7000000.0	761220.1	625029.2	1506292.4
8000000.0	776084.0	634262.9	1589380.0
9000000.0	788055.4	641641.2	1661023.2
10000000.0	797911.5	647672.1	1723437.2
11000000.0	806167.4	652693.9	1778299.0
12000000.0	813183.6	656940.4	1826902.3
13000000.0	819219.9	660578.1	1870260.9
14000000.0	824468.0	663729.3	1909180.7
15000000.0	829073.0	666485.5	1944310.4
16000000.0	833146.2	668916.5	1976178.1
17000000.0	836774.8	671076.5	2005218.3
18000000.0	840027.7	673005.4	2031791.2
19000000.0	842960.4	674741.0	2057667.1
20000000.0	845618.0	676310.8	2081731.6
21000000.0	848037.5	677737.6	2104023.3
22000000.0	850249.4	679040.1	2124731.4
23000000.0	852279.5	680233.9	2144018.7
24000000.0	854149.2	681331.9	2162026.9
25000000.0	855876.8	682345.3	2178879.0
26000000.0	857478.0	683283.5	2194682.9
27000000.0	858966.0	684154.6	2209533.7
28000000.0	860352.6	684965.5	2223514.9
29000000.0	861647.7	685722.3	2236700.8
30000000.0	862860.1	686430.2	2249157.4
31000000.0	863997.5	687093.7	2260943.6
32000000.0	865066.6	687717.0	2272112.1
33000000.0	866073.4	688303.6	2282710.2
34000000.0	867023.2	688856.6	2292780.6
35000000.0	867920.7	689378.8	2302361.7
36000000.0	868770.1	689872.8	2311488.4
37000000.0	869575.2	690340.7	2320192.2
38000000.0	870339.3	690784.6	2328501.8
39000000.0	871065.5	691206.3	2336443.5
40000000.0	871756.6	691607.4	2344041.1
41000000.0	872415.0	691989.3	2351316.6
42000000.0	873043.0	692353.5	2358290.0
43000000.0	873642.6	692701.1	2364979.8
44000000.0	874215.9	693033.3	2371402.8
45000000.0	874764.3	693351.0	2377574.8
46000000.0	875289.6	693655.1	2383510.2
47000000.0	875793.1	693946.6	2389222.3
48000000.0	876276.2	694226.2	2394723.5
49000000.0	876740.1	694494.5	2400025.3
50000000.0	877186.0	694752.4	2405138.4
51000000.0	877614.8	695000.3	2410072.5
52000000.0	878027.5	695238.8	2414837.0
53000000.0	878425.0	695468.5	2419440.5
54000000.0	878808.1	695689.9	2423891.0
55000000.0	879177.7	695903.3	2428195.9
56000000.0	879534.3	696109.2	2432362.4
57000000.0	879878.7	696308.1	2436396.9
58000000.0	880211.5	696500.2	2440305.8
59000000.0	880533.3	696685.8	2444094.6
60000000.0	880844.5	696865.4	2447769.0
61000000.0	881145.8	697039.2	2451334.0
62000000.0	881437.6	697207.5	2454794.3
63000000.0	881720.3	697370.5	2458154.7
64000000.0	881994.3	697528.4	2461419.2
65000000.0	882260.1	697681.6	2464592.0
66000000.0	882518.0	697830.2	2467676.9
67000000.0	882768.3	697974.5	2470677.5
68000000.0	883011.4	698114.5	2473597.2
69000000.0	883247.6	698250.6	2476439.2
70000000.0	883477.1	698382.8	2479206.6
71000000.0	883700.4	698511.4	2481902.2
72000000.0	883917.5	698636.4	2484528.9
73000000.0	884128.8	698758.0	2487089.3
74000000.0	884334.5	698876.4	2489585.8
