TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	33653.4	23339.6	61136.7
2000000.0	36066.2	23526.4	83234.4
3000000.0	36962.1	23596.0	95616.6
4000000.0	37429.5	23632.4	103544.6
5000000.0	37716.5	23654.9	109057.2
6000000.0	37910.7	23670.1	113112.9
7000000.0	38050.8	23681.1	116221.9
8000000.0	38156.7	23689.5	118681.3
9000000.0	38239.5	23696.0	120675.3
10000000.0	38306.0	23701.2	122324.7
11000000.0	38360.7	23705.5	123711.8
12000000.0	38406.3	23709.1	124894.4
13000000.0	38445.1	23712.2	125914.8
14000000.0	38478.4	23714.8	126804.1
15000000.0	38507.3	23717.1	127586.1
16000000.0	38532.6	23719.1	128279.1
17000000.0	38555.0	23720.9	128897.5
18000000.0	38574.9	23722.4	129452.8
19000000.0	38592.7	23723.8	129954.0
20000000.0	38608.8	23725.1	130408.8
21000000.0	38623.3	23726.3	130823.3
22000000.0	38636.6	23727.3	131202.6
23000000.0	38648.7	23728.3	131551.1
24000000.0	38659.8	23729.1	131872.3
25000000.0	38670.0	23729.9	132169.3
26000000.0	38679.4	23730.7	132444.8
27000000.0	38688.2	23731.4	132701.1
28000000.0	38696.3	23732.0	132939.9
29000000.0	38703.9	23732.6	133163.2
30000000.0	38710.9	23733.2	133372.3
31000000.0	38717.6	23733.7	133568.6
32000000.0	38723.8	23734.2	133753.2
33000000.0	38729.6	23734.7	133927.1
34000000.0	38735.1	23735.1	134091.3
35000000.0	38740.2	23735.5	134246.4
36000000.0	38745.1	23735.9	134393.3
37000000.0	38749.7	23736.3	134532.6
38000000.0	38754.1	23736.6	134664.9
39000000.0	38758.3	23736.9	134790.6
40000000.0	38762.2	23737.2	134910.3
41000000.0	38766.0	23737.5	135024.4
42000000.0	38769.6	23737.8	135133.2
43000000.0	38773.0	23738.1	135237.1
44000000.0	38776.3	23738.4	135336.5
45000000.0	38779.4	23738.6	135431.6
46000000.0	38782.4	23738.8	135522.7
47000000.0	38785.2	23739.1	135610.1
48000000.0	38788.0	23739.3	135693.9
49000000.0	38790.6	23739.5	135774.5
50000000.0	38793.1	23739.7	135851.9
51000000.0	38795.5	23739.9	135926.3
52000000.0	38797.9	23740.1	135998.0
53000000.0	38800.1	23740.2	136067.1
54000000.0	38802.3	23740.4	136133.6
55000000.0	38804.3	23740.6	136197.8
56000000.0	38806.3	23740.7	136259.8
57000000.0	38808.3	23740.9	136319.7
58000000.0	38810.1	23741.0	136377.6
59000000.0	38812.0	23741.2	136433.5
60000000.0	38813.7	23741.3	136487.6
61000000.0	38815.4	23741.4	136540.0
62000000.0	38817.0	23741.6	136590.8
63000000.0	38818.6	23741.7	136640.0
64000000.0	38820.1	23741.8	136687.7
65000000.0	38821.6	23741.9	136733.9
66000000.0	38823.1	23742.1	136778.8
67000000.0	38824.5	23742.2	136822.4
68000000.0	38825.8	23742.3	136864.7
69000000.0	38827.2	23742.4	136905.8
70000000.0	38828.4	23742.5	136945.8
71000000.0	38829.7	23742.6	136984.6
72000000.0	38830.9	23742.7	137022.4
73000000.0	38832.1	23742.8	137059.2
74000000.0	38833.2	23742.9	137095.1
75000000.0	38834.3	23742.9	137130.0
76000000.0	38835.4	23743.0	137163.9
77000000.0	38836.5	23743.1	137197.1
78000000.0	38837.5	23743.2	137229.4
79000000.0	38838.5	23743.3	137260.8
