TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
131000000.0	69202.5	48493.0	127072.3
132000000.0	69204.4	48493.7	127083.6
133000000.0	69206.3	48494.4	127094.7
134000000.0	69208.2	48495.1	127105.6
135000000.0	69210.1	48495.8	127116.4
136000000.0	69211.9	48496.4	127127.0
137000000.0	69213.7	48497.1	127137.5
138000000.0	69215.5	48497.8	127147.8
139000000.0	69217.3	48498.4	127157.9
140000000.0	69219.0	48499.1	127168.0
141000000.0	69220.7	48499.7	127177.9
142000000.0	69222.4	48500.3	127187.6
143000000.0	69224.1	48500.9	127197.2
144000000.0	69225.7	48501.5	127206.7
145000000.0	69227.4	48502.1	127216.1
146000000.0	69228.9	48502.7	127225.3
147000000.0	69230.5	48503.3	127234.4
148000000.0	69232.1	48503.9	127243.4
149000000.0	69233.6	48504.4	127252.2
150000000.0	69235.1	48505.0	127261.0
151000000.0	69236.6	48505.5	127269.6
152000000.0	69238.1	48506.1	127278.1
153000000.0	69239.5	48506.6	127286.6
154000000.0	69241.0	48507.1	127294.9
155000000.0	69242.4	48507.7	127303.1
156000000.0	69243.8	48508.2	127311.1
157000000.0	69245.2	48508.7	127319.1
158000000.0	69246.5	48509.2	127327.0
159000000.0	69247.9	48509.7	127334.8
160000000.0	69249.2	48510.2	127342.5
161000000.0	69250.5	48510.7	127350.1
162000000.0	69251.8	48511.1	127357.6
163000000.0	69253.1	48511.6	127365.0
164000000.0	69254.4	48512.1	127372.4
165000000.0	69255.6	48512.5	127379.6
166000000.0	69256.8	48513.0	127386.8
167000000.0	69258.1	48513.4	127393.8
168000000.0	69259.3	48513.9	127400.8
169000000.0	69260.5	48514.3	127407.7
170000000.0	69261.6	48514.8	127414.5
171000000.0	69262.8	48515.2	127421.3
172000000.0	69264.0	48515.6	127428.0
173000000.0	69265.1	48516.0	127434.5
174000000.0	69266.2	48516.4	127441.1
175000000.0	69267.3	48516.8	127447.5
176000000.0	69268.4	48517.3	127453.9
177000000.0	69269.5	48517.7	127460.2
178000000.0	69270.6	48518.0	127466.4
179000000.0	69271.6	48518.4	127472.6
180000000.0	69272.7	48518.8	127478.6
181000000.0	69273.7	48519.2	127484.7
182000000.0	69274.8	48519.6	127490.6
183000000.0	69275.8	48520.0	127496.5
184000000.0	69276.8	48520.3	127502.3
185000000.0	69277.8	48520.7	127508.1
186000000.0	69278.8	48521.1	127513.8
187000000.0	69279.7	48521.4	127519.5
188000000.0	69280.7	48521.8	127525.1
189000000.0	69281.7	48522.1	127530.6
190000000.0	69282.6	48522.5	127536.1
191000000.0	69283.5	48522.8	127541.5
192000000.0	69284.5	48523.2	127546.8
193000000.0	69285.4	48523.5	127552.1
194000000.0	69286.3	48523.8	127557.4
195000000.0	69287.2	48524.1	127562.6
196000000.0	69288.1	48524.5	127567.7
197000000.0	69288.9	48524.8	127572.8
198000000.0	69289.8	48525.1	127577.9
199000000.0	69290.7	48525.4	127582.8
200000000.0	69291.5	48525.7	127587.8
201000000.0	69292.3	48526.1	127592.7
202000000.0	69293.2	48526.4	127597.5
203000000.0	69294.0	48526.7	127602.3
204000000.0	69294.8	48527.0	127607.1
205000000.0	69295.6	48527.3	127611.8
206000000.0	69296.4	48527.6	127616.4
207000000.0	69297.2	48527.9	127621.0
208000000.0	69298.0	48528.1	127625.6
209000000.0	69298.8	48528.4	127630.1
210000000.0	69299.6	48528.7	127634.6
211000000.0	69300.3	48529.0	127639.1
212000000.0	69301.1	48529.3	127643.5
213000000.0	69301.8	48529.6	127647.8
214000000.0	69302.6	48529.8	127652.1
215000000.0	69303.3	48530.1	127656.4
216000000.0	69304.1	48530.4	127660.7
217000000.0	69304.8	48530.6	127664.9
218000000.0	69305.5	48530.9	127669.0
219000000.0	69306.2	48531.2	127673.2
220000000.0	69306.9	48531.4	127677.2
221000000.0	69307.6	48531.7	127681.3
222000000.0	69308.3	48531.9	127685.3
223000000.0	69309.0	48532.2	127689.3
224000000.0	69309.7	48532.4	127693.2
225000000.0	69310.3	48532.7	127697.1
226000000.0	69311.0	48532.9	127701.0
227000000.0	69311.7	48533.2	127704.9
