#Transcript position	Transcript coverage profile
0.0	2.463162603901424
1.0	7.947445914169789
2.0	12.204190762489679
3.0	16.43829220432424
4.0	18.954091670210314
5.0	21.788144328377953
6.0	25.893734364611532
7.0	28.265660852276234
8.0	29.767922980588224
9.0	30.193352207547083
10.0	30.02782409776739
11.0	29.83924456984765
12.0	32.48824420738567
13.0	33.84888348871751
14.0	33.832238144492315
15.0	32.88836245224953
16.0	30.267726766076798
17.0	29.264133002730894
18.0	30.778120526419176
19.0	31.444499144801178
20.0	31.204885166147644
21.0	30.523040059166945
22.0	29.676629964212633
23.0	28.290054898739807
24.0	27.623654077480268
25.0	27.30284897838131
26.0	27.431999175301396
27.0	26.728759716148527
28.0	28.181281767917174
29.0	29.241119192272
30.0	31.286034644324772
31.0	30.730902363574735
32.0	32.30569918259153
33.0	33.56250869956589
34.0	34.6276897596246
35.0	34.01885579923098
36.0	34.262300027212376
37.0	34.830793076851
38.0	34.13152751599898
39.0	32.0025425376448
40.0	32.05063703184369
41.0	31.28204986055251
42.0	30.813103333987314
43.0	29.932805133124614
44.0	28.750655994124823
45.0	28.772024227916127
46.0	29.464263672224448
47.0	29.29172308505372
48.0	27.995920384365224
49.0	27.566767019672103
50.0	28.94691443579044
51.0	29.820770762311366
52.0	31.733678982631076
53.0	31.643465731326764
54.0	31.67688397232439
55.0	30.671580050031395
56.0	31.05286454438079
57.0	30.704685797222666
58.0	29.837016361485478
59.0	28.79961447120831
60.0	29.818398883672902
61.0	29.764301671280347
62.0	29.46311042097615
63.0	29.334410008164408
64.0	30.505736963296926
65.0	30.381570923685544
66.0	31.714320988146653
67.0	30.75925792649735
68.0	31.068926295205422
69.0	30.47527483230637
70.0	29.917290533527634
71.0	30.306973926555614
72.0	31.55859273506474
73.0	31.57175611655446
74.0	31.951893996524692
75.0	32.487428489660815
76.0	32.08325807282277
77.0	30.590114373148154
78.0	30.516402640935638
79.0	31.861234968079003
80.0	32.58490036513599
81.0	31.097462659515536
82.0	30.536219619442587
83.0	30.72322302057082
84.0	28.217421604248592
85.0	26.96530304502305
86.0	26.385834182872987
87.0	25.7689788815404
88.0	24.232427358913046
89.0	21.42784223127529
90.0	19.3220333967221
91.0	18.13484269490509
92.0	14.785757033976015
93.0	10.139731440191193
94.0	8.397412888723313
95.0	6.775960583492556
96.0	5.993910014226739
97.0	3.855499626427492
98.0	1.8539835117668753
99.0	0.5145970129633036
