#Transcript position	Transcript coverage profile
0.0	2.463162603901423
1.0	7.947445914169791
2.0	12.204190762489679
3.0	16.43829220432424
4.0	18.954091670210303
5.0	21.788144328377953
6.0	25.893734364611518
7.0	28.265660852276227
8.0	29.76792298058822
9.0	30.19335220754708
10.0	30.027824097767393
11.0	29.839244569847644
12.0	32.48824420738567
13.0	33.8488834887175
14.0	33.83223814449231
15.0	32.888362452249524
16.0	30.267726766076805
17.0	29.264133002730883
18.0	30.77812052641918
19.0	31.444499144801174
20.0	31.204885166147648
21.0	30.52304005916695
22.0	29.676629964212626
23.0	28.290054898739804
24.0	27.62365407748026
25.0	27.302848978381306
26.0	27.431999175301396
27.0	26.72875971614853
28.0	28.18128176791716
29.0	29.241119192272006
30.0	31.28603464432479
31.0	30.730902363574746
32.0	32.30569918259153
33.0	33.56250869956587
34.0	34.62768975962457
35.0	34.018855799230955
36.0	34.26230002721238
37.0	34.830793076851
38.0	34.13152751599899
39.0	32.00254253764479
40.0	32.05063703184368
41.0	31.282049860552508
42.0	30.81310333398731
43.0	29.932805133124617
44.0	28.75065599412483
45.0	28.77202422791612
46.0	29.46426367222445
47.0	29.291723085053736
48.0	27.995920384365224
49.0	27.566767019672103
50.0	28.946914435790454
51.0	29.82077076231135
52.0	31.733678982631073
53.0	31.64346573132677
54.0	31.67688397232439
55.0	30.671580050031395
56.0	31.052864544380782
57.0	30.704685797222666
58.0	29.83701636148547
59.0	28.7996144712083
60.0	29.81839888367291
61.0	29.764301671280368
62.0	29.46311042097616
63.0	29.334410008164404
64.0	30.50573696329694
65.0	30.381570923685548
66.0	31.714320988146657
67.0	30.759257926497355
68.0	31.068926295205415
69.0	30.475274832306376
70.0	29.917290533527648
71.0	30.30697392655562
72.0	31.558592735064735
73.0	31.571756116554468
74.0	31.951893996524696
75.0	32.48742848966083
76.0	32.08325807282277
77.0	30.590114373148168
78.0	30.51640264093563
79.0	31.861234968078993
80.0	32.58490036513598
81.0	31.097462659515536
82.0	30.53621961944258
83.0	30.72322302057082
84.0	28.217421604248585
85.0	26.965303045023045
86.0	26.38583418287298
87.0	25.76897888154039
88.0	24.232427358913046
89.0	21.427842231275285
90.0	19.3220333967221
91.0	18.134842694905092
92.0	14.785757033976015
93.0	10.139731440191198
94.0	8.397412888723313
95.0	6.775960583492555
96.0	5.993910014226742
97.0	3.8554996264274917
98.0	1.853983511766875
99.0	0.5145970129633037
