#Transcript position	Transcript coverage profile
0.0	5.720548706739149
1.0	16.896699476384057
2.0	25.335949270375355
3.0	32.241791325177864
4.0	37.70008323347089
5.0	43.24090327766352
6.0	48.68545496875525
7.0	51.187282250175116
8.0	53.65272173020368
9.0	57.17952624266743
10.0	56.59331615012885
11.0	57.03401020299961
12.0	60.97817785426691
13.0	62.02416782180479
14.0	63.94495533157169
15.0	64.36090411907712
16.0	60.86538796474662
17.0	59.211357531341896
18.0	58.99084761555764
19.0	58.14607060484885
20.0	57.647192799712165
21.0	54.93766893518516
22.0	53.418220044331505
23.0	53.889374748461584
24.0	54.91648745481791
25.0	54.87234212567775
26.0	54.53733158352723
27.0	53.871568557807755
28.0	57.00388117445805
29.0	57.169317732998394
30.0	58.627396170150114
31.0	57.24855326363878
32.0	58.91521942993853
33.0	61.3721645954924
34.0	63.329099603007485
35.0	61.943511516204325
36.0	59.683292054874855
37.0	61.38383502587588
38.0	62.0117476367791
39.0	61.42442109728822
40.0	62.00040417421937
41.0	61.29107927485183
42.0	61.30367334767671
43.0	60.60354464520462
44.0	60.083135043841
45.0	59.011165502551975
46.0	59.02827131764103
47.0	59.33114305702611
48.0	57.58939244940076
49.0	56.881454799066866
50.0	59.51199022963864
51.0	60.3385252541688
52.0	61.22376169063484
53.0	61.756179805568244
54.0	62.52706990777587
55.0	60.56599935347369
56.0	61.37161303279021
57.0	62.03315700234797
58.0	62.144913131842785
59.0	60.69645274957682
60.0	63.23351965020172
61.0	60.68531424311978
62.0	60.16924081324133
63.0	61.04272860643045
64.0	61.39940140066556
65.0	61.73460412575348
66.0	64.3233650173806
67.0	63.03344123888116
68.0	62.26795538724812
69.0	62.47474228765477
70.0	60.56856072143303
71.0	61.070106304859486
72.0	61.49186091803007
73.0	61.687749265335526
74.0	62.37401536888725
75.0	62.02846590160031
76.0	58.626777092529906
77.0	55.73925711401459
78.0	53.79932232892203
79.0	54.84865433765603
80.0	56.4619907524412
81.0	54.41203012970656
82.0	53.18114134735207
83.0	53.5050153753572
84.0	50.53582223294538
85.0	47.79949796894403
86.0	46.144292598987114
87.0	45.343786578863046
88.0	42.78033230047351
89.0	38.50244214231822
90.0	35.032624402245524
91.0	31.48840187944599
92.0	25.124137067714692
93.0	18.543125567132897
94.0	15.559149209154429
95.0	13.626283592170417
96.0	12.382662248795846
97.0	8.1527802941198
98.0	4.012902826623192
99.0	0.9745724513698664
