#Transcript position	Transcript coverage profile
0.0	5.013073579314674
1.0	16.338243040391724
2.0	25.042523199802005
3.0	34.60049343648652
4.0	40.22375622697155
5.0	46.60552602257839
6.0	55.11687568766809
7.0	60.18398340560183
8.0	62.19314396571711
9.0	62.763485891269056
10.0	62.07652011907199
11.0	62.83419893219292
12.0	67.21196680444382
13.0	68.29846684379885
14.0	67.85731670039542
15.0	65.68990858783377
16.0	60.460254051434084
17.0	59.84849548770441
18.0	63.39759806343137
19.0	67.10563227192321
20.0	67.19695640751415
21.0	64.54115335564673
22.0	62.65664662739147
23.0	59.58784278321555
24.0	57.17436972755052
25.0	56.1792514998276
26.0	56.497420228509306
27.0	55.41968258745307
28.0	58.647821041505466
29.0	60.73206648892278
30.0	64.21217854349491
31.0	63.458343274731824
32.0	65.85226739591171
33.0	68.3077491778993
34.0	69.76880602458218
35.0	67.9269247317631
36.0	67.73252546292132
37.0	69.59871308577306
38.0	68.63726130627161
39.0	64.7044088846527
40.0	64.49498721062498
41.0	63.41109899928928
42.0	63.323497702670984
43.0	60.668393607651296
44.0	58.65042684540385
45.0	58.46548852326367
46.0	60.91309498465798
47.0	62.03806978668321
48.0	59.628904914012786
49.0	59.1542024406761
50.0	61.67025752115315
51.0	63.22460701003739
52.0	65.7736175369378
53.0	66.30380670248691
54.0	66.58052678176453
55.0	63.8141932385982
56.0	63.88059095508811
57.0	62.413058260370796
58.0	61.642128092395104
59.0	60.49229254371145
60.0	63.03495129757039
61.0	61.823009295208195
62.0	61.173938361031965
63.0	61.830968982554054
64.0	64.18580210792778
65.0	63.412419771753655
66.0	66.57030082806703
67.0	66.15421279778658
68.0	66.8471435150408
69.0	64.97035714584936
70.0	64.49207433195629
71.0	66.18998845024355
72.0	68.64326992691437
73.0	69.06125446537989
74.0	70.60230042554853
75.0	71.7771672456161
76.0	69.64747167926625
77.0	66.31742103667364
78.0	65.01629034874634
79.0	66.35369776074772
80.0	66.18346209484541
81.0	63.32356241111259
82.0	62.44770510137664
83.0	62.773201787054944
84.0	57.00621273414192
85.0	54.24088924105503
86.0	52.679376204131955
87.0	52.03976605022071
88.0	49.08636664030059
89.0	42.64044689911036
90.0	38.35453576320124
91.0	35.50766783689992
92.0	28.42690336014496
93.0	18.898570629047438
94.0	16.046162707583658
95.0	13.703245007285073
96.0	12.273061125998053
97.0	7.9827530440563494
98.0	3.7886961069813623
99.0	0.9985464020254
