#Transcript position	Transcript coverage profile
0.0	6.522595566401671
1.0	17.901243134633248
2.0	26.338335546576566
3.0	32.774366898667346
4.0	38.238521629630284
5.0	43.290662172465424
6.0	49.35888157131843
7.0	52.14662394850341
8.0	55.85385105252653
9.0	58.83445701689385
10.0	58.00534317507352
11.0	57.426310156680806
12.0	60.20398638690327
13.0	60.46414898067212
14.0	61.7169425699974
15.0	59.769749439264224
16.0	56.714582395096144
17.0	55.3182897725535
18.0	55.53665085510006
19.0	54.78316774059092
20.0	54.852869756285926
21.0	51.977600180151875
22.0	49.49172045739191
23.0	49.055090811404
24.0	49.28834955679656
25.0	49.38719129366215
26.0	49.37983229043602
27.0	48.37911158241142
28.0	51.955396468557076
29.0	53.45020097570104
30.0	55.72348376017188
31.0	54.28749226175651
32.0	55.58747260826777
33.0	58.14437276177242
34.0	60.165656528926206
35.0	58.767739911955225
36.0	56.740863305100106
37.0	59.789707308313446
38.0	60.682571403370936
39.0	59.46920357219362
40.0	59.6858829525164
41.0	58.14000270369374
42.0	57.59238265055643
43.0	56.64599859740796
44.0	56.0175757782994
45.0	55.1744548521787
46.0	55.9146103022592
47.0	56.425458357015096
48.0	54.45885936069723
49.0	53.38831257971487
50.0	55.27431194211077
51.0	56.67340131969007
52.0	58.98445644860608
53.0	59.93194128533663
54.0	59.99023244125534
55.0	57.81852395183961
56.0	57.31894224960371
57.0	56.71139183882971
58.0	55.97530014353975
59.0	54.98486729716846
60.0	56.800279589044564
61.0	55.278074939938215
62.0	55.674534902994196
63.0	57.42587269024592
64.0	59.0874251200765
65.0	60.048794437558385
66.0	62.55856847878314
67.0	59.90121079030631
68.0	58.63835120491462
69.0	58.181898432959116
70.0	56.632314615420526
71.0	57.573069134114725
72.0	58.71106348800226
73.0	58.73604849480717
74.0	59.48048228840611
75.0	60.60185828766212
76.0	58.29270867264068
77.0	55.09844968371255
78.0	53.740891767230806
79.0	54.76830104112763
80.0	55.27976011131358
81.0	53.20802401029371
82.0	51.79416201111848
83.0	51.792661471836844
84.0	49.305219023897585
85.0	45.94673829589919
86.0	45.433482789697045
87.0	45.6937023250194
88.0	43.0339107602223
89.0	38.98327830564591
90.0	35.029425883461194
91.0	31.30357880536256
92.0	25.200682950269915
93.0	18.27754277531263
94.0	14.928479853108676
95.0	13.066195650983687
96.0	12.619274178585403
97.0	9.156738796857471
98.0	4.729206573141814
99.0	1.214703425229741
