#Transcript position	Transcript coverage profile
0.0	6.52259556640167
1.0	17.90124313463324
2.0	26.338335546576563
3.0	32.77436689866737
4.0	38.238521629630306
5.0	43.29066217246543
6.0	49.35888157131842
7.0	52.14662394850339
8.0	55.853851052526515
9.0	58.83445701689385
10.0	58.005343175073534
11.0	57.42631015668083
12.0	60.20398638690329
13.0	60.46414898067216
14.0	61.71694256999742
15.0	59.76974943926421
16.0	56.714582395096116
17.0	55.31828977255349
18.0	55.536650855100035
19.0	54.78316774059092
20.0	54.852869756285926
21.0	51.97760018015187
22.0	49.491720457391914
23.0	49.05509081140397
24.0	49.288349556796575
25.0	49.387191293662156
26.0	49.37983229043603
27.0	48.37911158241142
28.0	51.95539646855706
29.0	53.450200975700994
30.0	55.72348376017184
31.0	54.28749226175651
32.0	55.58747260826773
33.0	58.14437276177241
34.0	60.16565652892618
35.0	58.76773991195523
36.0	56.740863305100085
37.0	59.789707308313446
38.0	60.68257140337096
39.0	59.469203572193635
40.0	59.68588295251639
41.0	58.14000270369375
42.0	57.59238265055645
43.0	56.64599859740796
44.0	56.01757577829945
45.0	55.174454852178705
46.0	55.9146103022592
47.0	56.425458357015096
48.0	54.45885936069725
49.0	53.38831257971485
50.0	55.27431194211076
51.0	56.67340131969007
52.0	58.98445644860607
53.0	59.93194128533661
54.0	59.99023244125533
55.0	57.81852395183962
56.0	57.31894224960371
57.0	56.711391838829734
58.0	55.975300143539755
59.0	54.98486729716846
60.0	56.800279589044564
61.0	55.278074939938236
62.0	55.67453490299422
63.0	57.42587269024593
64.0	59.087425120076546
65.0	60.048794437558385
66.0	62.55856847878315
67.0	59.90121079030632
68.0	58.638351204914635
69.0	58.18189843295913
70.0	56.63231461542051
71.0	57.57306913411475
72.0	58.71106348800227
73.0	58.736048494807164
74.0	59.48048228840611
75.0	60.60185828766213
76.0	58.2927086726407
77.0	55.09844968371257
78.0	53.74089176723079
79.0	54.76830104112762
80.0	55.27976011131359
81.0	53.2080240102937
82.0	51.79416201111846
83.0	51.792661471836844
84.0	49.30521902389761
85.0	45.94673829589918
86.0	45.43348278969706
87.0	45.69370232501941
88.0	43.03391076022231
89.0	38.983278305645904
90.0	35.0294258834612
91.0	31.30357880536255
92.0	25.20068295026991
93.0	18.277542775312632
94.0	14.928479853108682
95.0	13.06619565098369
96.0	12.619274178585405
97.0	9.156738796857473
98.0	4.7292065731418145
99.0	1.214703425229741
