-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	572
-100	-95	3575
-95	-90	3484
-90	-85	3512
-85	-80	3253
-80	-75	3108
-75	-70	3036
-70	-65	2824
-65	-60	2752
-60	-55	2578
-55	-50	2485
-50	-45	2329
-45	-40	2307
-40	-35	2148
-35	-30	1999
-30	-25	1821
-25	-20	1674
-20	-15	1692
-15	-10	1625
-10	-5	1486
-5	0	1475
0	5	1437
5	10	1238
10	15	1171
15	20	1025
20	25	989
25	30	902
30	35	867
35	40	817
40	45	809
45	50	709
50	55	665
55	60	580
60	65	611
65	70	550
70	75	510
75	80	504
80	85	437
85	90	428
90	95	366
95	100	353
100	105	347
105	110	299
110	115	285
115	120	281
120	125	236
125	130	223
130	135	195
135	140	206
140	145	186
145	150	167
150	155	188
155	160	145
160	165	130
165	170	131
170	175	121
175	180	108
180	185	104
185	190	90
190	195	76
195	200	69
200	205	79
205	210	54
210	215	48
215	220	53
220	225	45
225	230	62
230	235	35
235	240	35
240	245	33
245	250	39
